,hospitalized,n_infectious
0,0.0,0.0
1,0.0,0.0
2,0.0,1.0
3,0.0,26.0
4,1.0,53.0
5,2.0,81.0
6,2.0,101.0
7,2.0,110.0
8,6.0,130.0
9,6.0,154.0
10,6.0,185.0
11,7.0,220.0
12,10.0,244.0
13,11.0,278.0
14,11.0,315.0
15,11.0,350.0
16,16.0,400.0
17,16.0,447.0
18,16.0,516.0
19,20.0,578.0
20,24.0,646.0
21,25.0,727.0
22,31.0,812.0
23,30.0,900.0
24,33.0,989.0
25,36.0,1048.0
26,41.0,1098.0
27,45.0,1151.0
28,52.0,1205.0
29,54.0,1256.0
30,69.0,1297.0
31,70.0,1339.0
32,80.0,1397.0
33,86.0,1446.0
34,94.0,1514.0
35,103.0,1578.0
36,106.0,1629.0
37,112.0,1696.0
38,118.0,1737.0
39,122.0,1767.0
40,119.0,1788.0
41,128.0,1812.0
42,131.0,1832.0
43,141.0,1867.0
44,157.0,1895.0
45,167.0,1933.0
46,175.0,1933.0
47,184.0,1966.0
48,192.0,1986.0
49,203.0,1996.0
50,210.0,2009.0
51,216.0,2003.0
52,217.0,1986.0
53,225.0,2026.0
54,228.0,2059.0
55,226.0,2092.0
56,226.0,2082.0
57,234.0,2077.0
58,230.0,2092.0
59,231.0,2134.0
60,236.0,2173.0
61,235.0,2191.0
62,232.0,2267.0
63,233.0,2332.0
64,243.0,2383.0
65,240.0,2444.0
66,243.0,2522.0
67,251.0,2623.0
68,251.0,2634.0
69,255.0,2691.0
70,255.0,2739.0
71,266.0,2822.0
72,265.0,2870.0
73,278.0,2941.0
74,288.0,3045.0
75,305.0,3117.0
76,306.0,3191.0
77,319.0,3277.0
78,335.0,3413.0
79,350.0,3496.0
80,352.0,3584.0
81,357.0,3740.0
82,358.0,3807.0
83,367.0,3954.0
84,383.0,4099.0
85,401.0,4209.0
86,398.0,4369.0
87,411.0,4477.0
88,424.0,4614.0
89,422.0,4707.0
90,428.0,4791.0
91,438.0,4838.0
92,447.0,4861.0
93,461.0,4931.0
94,462.0,5023.0
95,465.0,5141.0
96,469.0,5295.0
97,470.0,5485.0
98,478.0,5762.0
99,483.0,5994.0
100,505.0,6225.0
101,530.0,6458.0
102,535.0,6725.0
103,547.0,7025.0
104,571.0,7314.0
105,577.0,7528.0
106,598.0,7874.0
107,622.0,8298.0
108,646.0,8643.0
109,666.0,9071.0
110,699.0,9450.0
111,722.0,9953.0
112,757.0,10479.0
113,810.0,10936.0
114,850.0,11449.0
115,890.0,11950.0
116,923.0,12268.0
117,967.0,12467.0
118,988.0,12657.0
119,1020.0,12775.0
120,1068.0,12932.0
121,1102.0,13038.0
122,1144.0,13298.0
123,1195.0,13640.0
124,1215.0,13889.0
125,1260.0,14227.0
126,1299.0,14663.0
127,1309.0,15080.0
128,1335.0,15529.0
129,1364.0,15956.0
130,1411.0,16375.0
131,1465.0,16721.0
132,1499.0,17064.0
133,1553.0,17455.0
134,1604.0,17798.0
135,1644.0,18078.0
136,1702.0,18296.0
137,1749.0,18593.0
138,1813.0,18778.0
139,1873.0,19030.0
140,1906.0,19245.0
141,1942.0,19471.0
142,1944.0,19652.0
143,1993.0,19880.0
144,2036.0,19972.0
145,2061.0,20155.0
146,2089.0,20164.0
147,2140.0,20256.0
148,2205.0,20344.0
149,2231.0,20397.0
150,2250.0,20355.0
151,2260.0,20442.0
152,2277.0,20500.0
153,2301.0,20557.0
154,2321.0,20539.0
155,2348.0,20696.0
156,2371.0,20862.0
157,2379.0,20975.0
158,2396.0,21087.0
159,2368.0,21227.0
160,2341.0,21310.0
161,2330.0,21373.0
162,2323.0,21384.0
163,2324.0,21346.0
164,2341.0,21473.0
165,2365.0,21650.0
166,2375.0,21765.0
167,2383.0,21989.0
168,2382.0,22083.0
169,2403.0,22263.0
170,2437.0,22407.0
171,2442.0,22719.0
172,2448.0,23005.0
173,2476.0,23304.0
174,2511.0,23460.0
175,2521.0,23938.0
176,2529.0,24217.0
177,2544.0,24423.0
178,2584.0,24919.0
179,2635.0,25378.0
180,2660.0,25917.0
181,2730.0,26625.0
182,2727.0,27246.0
183,2761.0,27823.0
184,2806.0,28537.0
185,2848.0,29445.0
186,2860.0,30254.0
187,2874.0,31152.0
188,2917.0,32004.0
189,2955.0,32900.0
190,3031.0,33938.0
191,3062.0,34916.0
192,3110.0,35978.0
193,3170.0,36901.0
194,3219.0,37959.0
195,3277.0,38924.0
196,3381.0,39722.0
197,3483.0,40746.0
198,3579.0,41687.0
199,3639.0,42603.0
200,3725.0,43242.0
201,3797.0,44182.0
202,3889.0,45255.0
203,3996.0,46288.0
204,4089.0,47274.0
205,4182.0,48258.0
206,4302.0,49129.0
207,4360.0,49936.0
208,4418.0,50722.0
209,4533.0,51628.0
210,4644.0,52374.0
211,4760.0,53090.0
212,4885.0,53936.0
213,5010.0,54586.0
214,5128.0,55283.0
215,5201.0,55969.0
216,5322.0,56735.0
217,5393.0,57255.0
218,5456.0,57851.0
219,5556.0,58315.0
220,5642.0,58941.0
221,5740.0,59387.0
222,5801.0,59582.0
223,5842.0,59930.0
224,5918.0,60185.0
225,5983.0,60472.0
226,6034.0,60627.0
227,6124.0,60655.0
228,6232.0,60766.0
229,6260.0,60902.0
230,6323.0,60956.0
231,6356.0,60976.0
232,6441.0,60909.0
233,6482.0,60729.0
234,6459.0,60352.0
235,6475.0,59969.0
236,6529.0,59628.0
237,6519.0,59019.0
238,6526.0,58510.0
239,6557.0,58008.0
240,6594.0,57263.0
241,6570.0,56693.0
242,6566.0,55932.0
243,6589.0,55194.0
244,6559.0,54439.0
245,6517.0,53668.0
246,6498.0,53060.0
247,6430.0,52144.0
248,6376.0,51241.0
249,6310.0,50139.0
250,6232.0,48689.0
251,6155.0,47312.0
252,6037.0,45827.0
253,5942.0,44349.0
254,5836.0,42720.0
255,5747.0,41301.0
256,5634.0,39738.0
257,5521.0,38325.0
258,5396.0,36863.0
259,5233.0,35584.0
260,5110.0,34349.0
261,4963.0,33215.0
262,4807.0,31958.0
263,4669.0,30563.0
264,4508.0,29306.0
265,4388.0,28249.0
266,4257.0,27112.0
267,4153.0,26073.0
268,4016.0,24921.0
269,3859.0,23933.0
270,3739.0,22952.0
271,3637.0,21983.0
272,3507.0,20992.0
273,3390.0,20212.0
274,3239.0,19341.0
275,3078.0,18371.0
276,2962.0,17517.0
277,2862.0,16817.0
278,2736.0,16068.0
279,2624.0,15332.0
280,2530.0,14715.0
281,2433.0,14047.0
282,2328.0,13477.0
283,2219.0,12891.0
284,2139.0,12446.0
285,2063.0,11843.0
286,1979.0,11281.0
287,1892.0,10761.0
288,1819.0,10306.0
289,1731.0,9882.0
290,1642.0,9433.0
291,1577.0,8950.0
292,1494.0,8445.0
293,1427.0,8034.0
294,1378.0,7599.0
295,1347.0,7224.0
296,1307.0,6836.0
297,1235.0,6427.0
298,1179.0,6024.0
299,1113.0,5680.0
300,1067.0,5372.0
301,1032.0,5107.0
302,981.0,4842.0
303,932.0,4570.0
304,876.0,4293.0
305,824.0,3979.0
