,mobility
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,-0.0436877025562212
8,-0.0436877025562212
9,-0.0436877025562212
10,-0.0436877025562212
11,-0.0436877025562212
12,-0.0436877025562212
13,-0.0436877025562212
14,-0.142183890633573
15,-0.142183890633573
16,-0.142183890633573
17,-0.142183890633573
18,-0.142183890633573
19,-0.142183890633573
20,-0.142183890633573
21,-0.414264196497882
22,-0.414264196497882
23,-0.414264196497882
24,-0.414264196497882
25,-0.414264196497882
26,-0.414264196497882
27,-0.414264196497882
28,-0.490226517606742
29,-0.490226517606742
30,-0.490226517606742
31,-0.490226517606742
32,-0.490226517606742
33,-0.490226517606742
34,-0.490226517606742
35,-0.520691444229291
36,-0.520691444229291
37,-0.520691444229291
38,-0.520691444229291
39,-0.520691444229291
40,-0.520691444229291
41,-0.520691444229291
42,-0.601104998394856
43,-0.601104998394856
44,-0.601104998394856
45,-0.601104998394856
46,-0.601104998394856
47,-0.601104998394856
48,-0.601104998394856
49,-0.565468289968282
50,-0.565468289968282
51,-0.565468289968282
52,-0.565468289968282
53,-0.565468289968282
54,-0.565468289968282
55,-0.565468289968282
56,-0.500887028474234
57,-0.500887028474234
58,-0.500887028474234
59,-0.500887028474234
60,-0.500887028474234
61,-0.500887028474234
62,-0.500887028474234
63,-0.533539503417897
64,-0.533539503417897
65,-0.533539503417897
66,-0.533539503417897
67,-0.533539503417897
68,-0.533539503417897
69,-0.533539503417897
70,-0.489363271950639
71,-0.489363271950639
72,-0.489363271950639
73,-0.489363271950639
74,-0.489363271950639
75,-0.489363271950639
76,-0.489363271950639
77,-0.479732407975015
78,-0.479732407975015
79,-0.479732407975015
80,-0.479732407975015
81,-0.479732407975015
82,-0.479732407975015
83,-0.479732407975015
84,-0.525650201055078
85,-0.525650201055078
86,-0.525650201055078
87,-0.525650201055078
88,-0.525650201055078
89,-0.525650201055078
90,-0.525650201055078
91,-0.4254
92,-0.4254
93,-0.4254
94,-0.4254
95,-0.4254
96,-0.4254
97,-0.4254
98,-0.4325
99,-0.4325
100,-0.4325
101,-0.4325
102,-0.4325
103,-0.4325
104,-0.4325
105,-0.394
106,-0.394
107,-0.394
108,-0.394
109,-0.394
110,-0.394
111,-0.394
112,-0.53
113,-0.53
114,-0.53
115,-0.53
116,-0.53
117,-0.53
118,-0.53
119,-0.47
120,-0.47
121,-0.47
122,-0.47
123,-0.47
124,-0.47
125,-0.47
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.53
134,-0.53
135,-0.53
136,-0.53
137,-0.53
138,-0.53
139,-0.53
140,-0.56
141,-0.56
142,-0.56
143,-0.56
144,-0.56
145,-0.56
146,-0.56
147,-0.55
148,-0.55
149,-0.55
150,-0.55
151,-0.55
152,-0.55
153,-0.55
154,-0.53
155,-0.53
156,-0.53
157,-0.53
158,-0.53
159,-0.53
160,-0.53
161,-0.5
162,-0.5
163,-0.5
164,-0.5
165,-0.5
166,-0.5
167,-0.5
168,-0.47
169,-0.47
170,-0.47
171,-0.47
172,-0.47
173,-0.47
174,-0.47
175,-0.39
176,-0.39
177,-0.39
178,-0.39
179,-0.39
180,-0.39
181,-0.39
182,-0.35
183,-0.35
184,-0.35
185,-0.35
186,-0.35
187,-0.35
188,-0.35
189,-0.34
190,-0.34
191,-0.34
192,-0.34
193,-0.34
194,-0.34
195,-0.34
196,-0.34
197,-0.34
198,-0.34
199,-0.34
200,-0.34
201,-0.34
202,-0.34
203,-0.33
204,-0.33
205,-0.33
206,-0.33
207,-0.33
208,-0.33
209,-0.33
210,-0.33
211,-0.33
212,-0.33
213,-0.33
214,-0.33
215,-0.33
216,-0.33
217,-0.32
218,-0.32
219,-0.32
220,-0.32
221,-0.32
222,-0.32
223,-0.32
224,-0.31
225,-0.31
226,-0.31
227,-0.31
228,-0.31
229,-0.31
230,-0.31
231,-0.32
232,-0.32
233,-0.32
234,-0.32
235,-0.32
236,-0.32
237,-0.32
238,-0.31
239,-0.31
240,-0.31
241,-0.31
242,-0.31
243,-0.31
244,-0.31
245,-0.42
246,-0.42
247,-0.42
248,-0.42
249,-0.42
250,-0.42
251,-0.42
252,-0.41
253,-0.41
254,-0.41
255,-0.41
256,-0.41
257,-0.41
258,-0.41
259,-0.43
260,-0.43
261,-0.43
262,-0.43
263,-0.43
264,-0.43
265,-0.43
266,-0.45
267,-0.45
268,-0.45
269,-0.45
270,-0.45
271,-0.45
272,-0.45
273,-0.44
274,-0.44
275,-0.44
276,-0.44
277,-0.44
278,-0.44
279,-0.44
280,-0.44
281,-0.44
282,-0.44
283,-0.44
284,-0.44
285,-0.44
286,-0.44
287,-0.51
288,-0.51
289,-0.51
290,-0.51
291,-0.51
292,-0.51
293,-0.51
294,-0.51
295,-0.51
296,-0.51
297,-0.51
298,-0.51
299,-0.51
300,-0.51
301,-0.66
302,-0.66
303,-0.66
304,-0.66
305,-0.66
